"Image Template","Image Template"
"Select template image","Select template image"
"Image is not assigned","Image is not assigned"
"Edit Printable Area","Edit Printable Area"
"Please select Image Template.","Please select Image Template."
"I confirm that the uploaded file is compliant for print","I confirm that the uploaded file is compliant for print"
"Image File","Image File"
"Custom Product Preview Image Management","Custom Product Preview Image Management"
"Delete all temporary images used in CPP that are older than","Delete all temporary images used in CPP that are older than"
"Flush CPP Temporary Images","Flush CPP Temporary Images"
"You have exceed limit of product for your license.","You have exceed limit of product for your license."
"Custom Product","Custom Product"
"Preview image for this product was deleted","Preview image for this product was deleted"
"Print Preview files can't be edited","Print Preview files can't be edited"
"Preview image will be deleted. Please confirm","Preview image will be deleted. Please confirm"
"Invalid data recieved","Invalid data recieved"
"Custom Product Preview Images has been flushed.","Custom Product Preview Images has been flushed."
"The uploaded preview image height and width should be no more than 2000 px.","The uploaded preview image height and width should be no more than 2000 px."
"By deleting 'Custom Product Preview' image product option may not work","By deleting 'Custom Product Preview' image product option may not work"
"Reset","Reset"
"Close","Close"
"Apply","Apply"
"Agree","Agree"
"The product preview is available in the order overview at your account","The product preview is available in the order overview at your account"
"The preview image is not uploaded. We recommend to upload and position the preview image in order to match your needs exactly.","The preview image is not uploaded. We recommend to upload and position the preview image in order to match your needs exactly."
"The preview image was not found, please get back to the shopping cart and check all the required product options","The preview image was not found, please get back to the shopping cart and check all the required product options"
"Allowed Files for Preview Images","Allowed Files for Preview Images"
"Sorry, but your browser does NOT support HTML5 elements and this feature is not working or may work incorrectly.","Sorry, but your browser does NOT support HTML5 elements and this feature is not working or may work incorrectly."
"Please, try using different browser.","Please, try using different browser."
"Please, try using different browser (Opera Mini for example) or update your Android to a newer version.","Please, try using different browser (Opera Mini for example) or update your Android to a newer version."
"Email to a Friend","Email to a Friend"
"Click to share your customized image","Click to share your customized image"
"Shared images view page","Shared images view page"
"This customized image was created for the following product","This customized image was created for the following product"


